"date","sentiment","count"
"2025-05-10","neutral","1"
"2025-05-11","neutral","1"
"2025-05-12","neutral","2"
"2025-05-12","positive","1"
"2025-05-13","neutral","3"
"2025-05-13","positive","5"
"2025-05-14","neutral","1"
"2025-05-14","positive","2"
"2025-05-15","negative","1"
"2025-05-15","neutral","1"
"2025-05-15","positive","6"
"2025-05-16","negative","2"
"2025-05-16","neutral","1"
"2025-05-16","positive","1"
"2025-05-17","negative","1"
"2025-05-17","neutral","1"
"2025-05-17","positive","4"
"2025-05-18","negative","2"
"2025-05-18","neutral","1"
"2025-05-18","positive","5"
"2025-05-19","positive","3"
"2025-05-20","negative","1"
"2025-05-20","neutral","4"
"2025-05-20","positive","7"
"2025-05-21","negative","4"
"2025-05-21","neutral","3"
"2025-05-21","positive","2"
"2025-05-22","negative","5"
"2025-05-22","neutral","6"
"2025-05-22","positive","7"
"2025-05-23","negative","4"
"2025-05-23","neutral","1"
"2025-05-23","positive","8"
"2025-05-24","negative","1"
"2025-05-24","neutral","2"
"2025-05-24","positive","2"
"2025-05-25","negative","2"
"2025-05-25","neutral","1"
"2025-05-25","positive","5"
"2025-05-26","negative","3"
"2025-05-26","neutral","1"
"2025-05-26","positive","2"
"2025-05-27","negative","1"
"2025-05-27","neutral","3"
"2025-05-27","positive","6"
"2025-05-28","negative","4"
"2025-05-28","neutral","1"
"2025-05-28","positive","3"
"2025-05-29","negative","2"
"2025-05-29","neutral","4"
"2025-05-29","positive","4"
"2025-05-30","neutral","1"
"2025-05-30","positive","2"
"2025-05-31","negative","2"
"2025-05-31","neutral","2"
"2025-05-31","positive","2"
"2025-06-01","negative","2"
"2025-06-01","neutral","1"
"2025-06-01","positive","2"
"2025-06-02","negative","2"
"2025-06-02","neutral","4"
"2025-06-02","positive","1"
"2025-06-03","negative","1"
"2025-06-03","neutral","1"
"2025-06-03","positive","3"
"2025-06-04","negative","2"
"2025-06-04","neutral","2"
"2025-06-04","positive","5"
"2025-06-05","negative","3"
"2025-06-05","neutral","3"
"2025-06-05","positive","5"
"2025-06-06","negative","6"
"2025-06-06","neutral","3"
"2025-06-06","positive","5"
"2025-06-07","negative","2"
"2025-06-07","neutral","1"
"2025-06-08","negative","1"
"2025-06-08","positive","4"
"2025-06-09","negative","1"
"2025-06-09","neutral","2"
"2025-06-09","positive","2"
"2025-06-10","negative","2"
"2025-06-10","neutral","2"
"2025-06-10","positive","7"
"2025-06-11","negative","2"
"2025-06-11","neutral","1"
"2025-06-11","positive","5"
"2025-06-12","neutral","2"
"2025-06-12","positive","4"
"2025-06-13","negative","3"
"2025-06-13","neutral","5"
"2025-06-13","positive","5"
"2025-06-14","negative","1"
"2025-06-14","positive","3"
"2025-06-15","negative","1"
"2025-06-15","neutral","1"
"2025-06-15","positive","4"
"2025-06-16","negative","4"
"2025-06-16","positive","2"
"2025-06-17","negative","3"
"2025-06-17","neutral","4"
"2025-06-17","positive","1"
"2025-06-18","negative","1"
"2025-06-18","neutral","6"
"2025-06-18","positive","5"
"2025-06-19","negative","1"
"2025-06-19","positive","1"
"2025-06-20","neutral","2"
"2025-06-20","positive","5"
"2025-06-21","negative","2"
"2025-06-21","neutral","5"
"2025-06-22","negative","1"
"2025-06-22","neutral","4"
"2025-06-22","positive","7"
"2025-06-23","negative","1"
"2025-06-23","neutral","1"
"2025-06-23","positive","7"
"2025-06-24","negative","2"
"2025-06-24","neutral","2"
"2025-06-24","positive","7"
"2025-06-25","negative","1"
"2025-06-25","neutral","5"
"2025-06-25","positive","3"
"2025-06-26","negative","5"
"2025-06-26","neutral","4"
"2025-06-26","positive","2"
"2025-06-27","negative","2"
"2025-06-27","neutral","3"
"2025-06-27","positive","5"
"2025-06-28","neutral","4"
"2025-06-28","positive","5"
"2025-06-29","neutral","1"
"2025-06-29","positive","1"
